"","site_code","Date","mean_Salinity","sd_Salinity","SE_Salinity","mean_DOX","sd_DOX","SE_DOX","mean_TURB","sd_TURB","SE_TURB","mean_CPHL","sd_CPHL","SE_CPHL","mean_CNDC","sd_CNDC","SE_CNDC","mean_DESC","sd_DESC","SE_DESC","mean_TEMP","sd_TEMP","SE_TEMP"
"1","NRSNSI",2014-09-17,35.5043166666667,0.00969365534888598,0.00176981123308849,NA,NA,NA,0.197043333333333,0.063158261443027,0.0115310681617182,0.311156666666667,0.0114057361047832,0.00208239298318028,4.86496666666667,0.017903984016921,0.0032688053050932,0.541233333333333,0.177824726439641,0.032466204651059,20.1069133333333,0.167020018897866,0.0304935439684335
"2","NRSNSI",2014-10-20,35.5391866666667,0.00466407645685601,0.000851539961782935,NA,NA,NA,0.02716,0.00440341560217943,0.00080395001846129,0.166963333333333,0.00927504933840705,0.00169338458153964,5.15451,0.00899445614694456,0.00164215550805751,0.681866666666667,0.220397404912023,0.0402388767619716,22.8542966666667,0.0947272581508701,0.0172947520332822
"3","NRSNSI",2014-11-07,35.4726066666667,0.0241372074111566,0.00440683099142379,NA,NA,NA,0.03299,0.0199835855054886,0.00364848685372979,0.178893333333333,0.0309143525793813,0.00564416275279838,5.26847666666667,0.0243876125046746,0.00445254849750178,0.464633333333333,0.124043786299598,0.0226471932915466,24.02347,0.263889701553901,0.0481794474114592
"4","NRSNSI",2014-12-23,35.4800766666667,0.00504016169235226,0.000920203417458249,NA,NA,NA,0.0714866666666667,0.0909696945874467,0.0166087179249667,0.210493333333333,0.031593625866657,0.00576818052018225,5.45986666666667,0.0425431329466877,0.00776727786061402,0.4422,0.113995583701511,0.0208126508830953,25.8254133333333,0.409003372158203,0.0746734576755761
"5","NRSNSI",2015-01-19,35.5680166666667,0.0543316386097724,0.00991955468426365,NA,NA,NA,0.0264966666666667,0.019877165608901,0.00362905732775367,0.148016666666667,0.0372901122452637,0.00680821188287685,5.57174333333333,0.0838943986594861,0.0153169515313772,0.520733333333333,0.117201545633369,0.0213979767726224,26.76175,0.838214318224082,0.153036296705048
"6","NRSNSI",2015-03-04,35.3976533333333,0.0317125313350759,0.00578988958927016,NA,NA,NA,0.0240533333333333,0.0108993746525244,0.00198994445329589,0.176986666666667,0.0117662208896055,0.00214820819927514,5.57381666666667,0.0297764901863214,0.00543641845279315,0.613433333333333,0.159227593201623,0.0290708481912618,27.00452,0.323864291928281,0.0591292594198526
"7","NRSNSI",2015-03-23,35.4258066666667,0.0413871538734795,0.00755622592248068,NA,NA,NA,0.200126666666667,0.10049761339878,0.0183482699446483,0.3124,0.0232830114179772,0.00425087685342548,5.44551333333333,0.0796256271921743,0.0145375840562169,0.618566666666667,0.167188244788329,0.0305242576734212,25.7595166666667,0.808153601430908,0.147547985810916
"8","NRSNSI",2015-05-12,35.4826366666667,0.00639112980856194,0.00116685532136435,NA,NA,NA,0.165023333333333,0.0865857505332275,0.0158083229085212,0.195673333333333,0.0310037921299441,0.00566049210592384,5.30110666666667,0.0104022190382408,0.00189917667178473,0.589566666666667,0.132142473615917,0.0241258045346563,24.3210733333333,0.0939938807007956,0.0171608562424251
"9","NRSNSI",2015-05-28,35.6285133333333,0.00656767073250253,0.00119908713681937,NA,NA,NA,0.14906,0.0380024645298805,0.00693826902126851,0.301986666666667,0.0124428551256599,0.0022717441440309,5.12901333333333,0.000752344993008963,0.000137358774565692,0.511466666666667,0.117941462199462,0.0215330664372627,22.5009866666667,0.0034780824417001,0.000635008070060598
"10","NRSNSI",2015-07-31,35.65481,0.00401328397647897,0.000732722054530522,NA,NA,NA,0.06946,0.0416985454141409,0.00761307797949286,0.219976666666667,0.0237885322028875,0.00434317189915318,5.03263666666667,0.016531985368669,0.0030183137689218,0.564133333333333,0.167484787437512,0.030578398706161,21.54622,0.158025011987954,0.0288512879052756
