Project_name,Sample,Date,Preservation,Time_local,Latitude,Longitude,Location,Volume_m3,Vessel,Gear_depth_m,Gear_mesh_um,Bathym_m,A. jugosa,O. pedimacula ,Ratabulus spp,R. mcgroutheri ,S. tuberculata ,P. bassensis ,P. caeruleopunctatus,P. endrachtensis,P. fuscus,P. grandispinis,P. richardsoni ,Other
NRS_NSI,NSI2015111918A,19/11/2015,Formalin,11:41,-27.345,153.562,North Stradbroke,128.5,Scylla,18,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2015111922B,19/11/2015,Formalin,11:54,-27.345,153.562,North Stradbroke,124.9,Scylla,22,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2015121631A,16/12/2015,Formalin,11:50,-27.345,153.562,North Stradbroke,215.1,Scylla,31,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2015121635B,16/12/2015,Formalin,12:10,-27.3889,153.5802,North Stradbroke Ichthyo 30m,214,Scylla,35,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016012015A,20/01/2016,Formalin,11:42,-27.345,153.562,North Stradbroke,278,Scylla,15,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2016012017B,20/01/2016,Formalin,12:00,-27.3889,153.5802,North Stradbroke Ichthyo 30m,235,Scylla,17,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016031820A,18/03/2016,Formalin,11:54,-27.345,153.562,North Stradbroke,216.3,Scylla,20,Ring-500,60,0,0,0,0,0,0,0,0,0,1,0,0
NRS_NSI,NSF2016031820B,18/03/2016,Formalin,12:32,-27.3889,153.5802,North Stradbroke Ichthyo 30m,198.2,Scylla,20,Ring-500,30,1,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSI2016041230A,12/04/2016,Formalin,11:56,-27.345,153.562,North Stradbroke,228.4,Scylla,30,Ring-500,60,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2016041220B,12/04/2016,Formalin,12:23,-27.3889,153.5802,North Stradbroke Ichthyo 30m,221.3,Scylla,20,Ring-500,30,14,0,0,0,0,0,0,1,0,1,0,0
NRS_NSI,NSI2016051714A,17/05/2016,Formalin,11:48,-27.345,153.562,North Stradbroke,397.6966258,Scylla,14,Ring-500,60,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016051713B,17/05/2016,Ethanol,12:05,-27.345,153.562,North Stradbroke,398.4743301,Scylla,13,Ring-500,60,11,0,0,0,0,0,0,8,0,0,0,0
NRS_NSI,NSF2016051713B,17/05/2016,Formalin,12:35,-27.3889,153.5802,North Stradbroke Ichthyo 30m,393.4878732,Scylla,13,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI20160623A,23/06/2016,Formalin,11:45,-27.345,153.562,North Stradbroke,204.3379902,Scylla,,Ring-500,60,0,0,1,0,0,0,0,1,0,0,0,1
NRS_NSI,NSI20160623B,23/06/2016,Ethanol,12:00,-27.345,153.562,North Stradbroke,238.6027264,Scylla,,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSF20160623B,23/06/2016,Formalin,12:40,-27.3889,153.5802,North Stradbroke Ichthyo 30m,353.3979794,Scylla,,Ring-500,30,0,1,0,,0,0,,5,0,0,0,0
